,Date,ET (mm/day)
1,01/01/2020,10.25030629
2,02/01/2020,9.048731963
3,03/01/2020,8.307721418
4,04/01/2020,8.241532174
5,05/01/2020,8.867831267
6,06/01/2020,8.428528687
7,07/01/2020,8.609957962
8,08/01/2020,8.479536394
9,09/01/2020,8.140114425
10,10/01/2020,7.363958974
11,11/01/2020,7.712618528
12,12/01/2020,6.984496841
13,13/01/2020,6.35917944
14,14/01/2020,8.074514354
15,15/01/2020,7.804797773
16,16/01/2020,5.361039837
17,17/01/2020,7.659211019
18,18/01/2020,5.391734688
19,19/01/2020,6.552642266
20,20/01/2020,8.282699431
21,21/01/2020,8.286247889
22,22/01/2020,6.571609625
23,23/01/2020,5.334178669
24,24/01/2020,5.110053406
25,25/01/2020,5.111514998
26,26/01/2020,4.880081546
27,27/01/2020,6.73227275
28,28/01/2020,6.236105935
29,29/01/2020,7.084523295
30,30/01/2020,7.304843569
31,31/01/2020,6.507262331
32,01/02/2020,5.728400026
33,02/02/2020,5.488537764
34,03/02/2020,6.368385484
35,04/02/2020,7.63097925
36,05/02/2020,7.922448431
37,06/02/2020,7.151182889
38,07/02/2020,9.086746517
39,08/02/2020,8.629256782
40,09/02/2020,8.90097328
41,10/02/2020,8.795255448
42,11/02/2020,8.575838553
43,12/02/2020,7.866118568
44,13/02/2020,7.916138303
45,14/02/2020,6.742852808
46,15/02/2020,8.518637073
47,16/02/2020,8.154914192
48,17/02/2020,8.87546413
49,18/02/2020,8.609258918
50,19/02/2020,8.402945272
51,20/02/2020,8.618224398
52,21/02/2020,8.66443205
53,22/02/2020,8.831715136
54,23/02/2020,8.700611774
55,24/02/2020,7.955311533
56,25/02/2020,5.836695819
57,26/02/2020,6.16694978
58,27/02/2020,7.905292225
59,28/02/2020,7.81322633
60,29/02/2020,7.197408112
61,01/03/2020,6.500426277
62,02/03/2020,4.439957328
63,03/03/2020,6.410195902
64,04/03/2020,5.522084378
65,05/03/2020,8.059510803
66,06/03/2020,7.759563453
67,07/03/2020,8.003962675
68,08/03/2020,7.561908923
69,09/03/2020,6.930672754
70,10/03/2020,6.672701497
71,11/03/2020,6.711072506
72,12/03/2020,6.636715043
73,13/03/2020,6.603735047
74,14/03/2020,6.74290374
75,15/03/2020,7.957240763
76,16/03/2020,7.575042306
77,17/03/2020,6.105840707
78,18/03/2020,6.860571894
79,19/03/2020,6.75571263
80,20/03/2020,7.440302437
81,21/03/2020,8.3676612
82,22/03/2020,8.226922042
83,23/03/2020,6.873791613
84,24/03/2020,7.680209888
85,25/03/2020,7.670361205
86,26/03/2020,7.44108867
87,27/03/2020,4.880464554
88,28/03/2020,6.033013166
89,29/03/2020,6.621390444
90,30/03/2020,7.505660204
91,31/03/2020,6.818363158
92,01/04/2020,7.291019311
93,02/04/2020,7.368788153
94,03/04/2020,6.661959718
95,04/04/2020,7.034008717
96,05/04/2020,6.438515758
97,06/04/2020,6.427966121
98,07/04/2020,6.348113536
99,08/04/2020,7.035817775
100,09/04/2020,7.391368184
101,10/04/2020,7.185404401
102,11/04/2020,6.331280259
103,12/04/2020,5.28659447
104,13/04/2020,5.943883647
105,14/04/2020,6.371311999
106,15/04/2020,7.125452609
107,16/04/2020,6.479811309
108,17/04/2020,6.5341607
109,18/04/2020,4.460304535
110,19/04/2020,5.160182439
111,20/04/2020,5.202907655
112,21/04/2020,5.475364573
113,22/04/2020,5.312344357
114,23/04/2020,4.133234702
115,24/04/2020,6.174188389
116,25/04/2020,5.628923322
117,26/04/2020,6.914066096
118,27/04/2020,6.660731134
119,28/04/2020,4.888696538
120,29/04/2020,6.009612119
121,30/04/2020,6.127650215
122,01/05/2020,6.083238235
123,02/05/2020,6.56828308
124,03/05/2020,6.188562984
125,04/05/2020,6.720057542
126,05/05/2020,6.17137524
127,06/05/2020,4.779899709
128,07/05/2020,6.610563752
129,08/05/2020,6.083470472
130,09/05/2020,6.10741662
131,10/05/2020,6.657436752
132,11/05/2020,5.812901966
133,12/05/2020,5.63112065
134,13/05/2020,6.633393883
135,14/05/2020,6.214949645
136,15/05/2020,6.14224601
137,16/05/2020,7.166135359
138,17/05/2020,6.901207023
139,18/05/2020,7.767135109
140,19/05/2020,6.209527959
141,20/05/2020,6.098562466
142,21/05/2020,6.20511471
143,22/05/2020,7.550893734
144,23/05/2020,6.613571665
145,24/05/2020,6.896446074
146,25/05/2020,6.501182889
147,26/05/2020,6.454222162
148,27/05/2020,7.489755522
149,28/05/2020,8.089549215
150,29/05/2020,8.114066725
151,30/05/2020,8.566945364
152,31/05/2020,8.112125806
153,01/06/2020,8.228054964
154,02/06/2020,7.57485146
155,03/06/2020,7.291850243
156,04/06/2020,8.075794508
157,05/06/2020,8.167818661
158,06/06/2020,8.112310918
159,07/06/2020,6.777831419
160,08/06/2020,6.640331521
161,09/06/2020,7.766558205
162,10/06/2020,6.442134637
163,11/06/2020,6.669555024
164,12/06/2020,6.269581107
165,13/06/2020,6.825008272
166,14/06/2020,8.231513964
167,15/06/2020,7.378439257
168,16/06/2020,7.861266691
169,17/06/2020,9.098140004
170,18/06/2020,8.133264567
171,19/06/2020,7.085029303
172,20/06/2020,8.702254597
173,21/06/2020,8.646847057
174,22/06/2020,8.739838272
175,23/06/2020,7.788775003
176,24/06/2020,7.2972071
177,25/06/2020,7.492878551
178,26/06/2020,7.056626946
179,27/06/2020,8.209000997
180,28/06/2020,8.155137748
181,29/06/2020,9.689619575
182,30/06/2020,9.333643385
183,01/07/2020,7.990862368
184,02/07/2020,8.239453041
185,03/07/2020,9.016510742
186,04/07/2020,8.540713648
187,05/07/2020,7.730226145
188,06/07/2020,9.047596862
189,07/07/2020,8.71331477
190,08/07/2020,9.218220199
191,09/07/2020,7.546185581
192,10/07/2020,8.452665053
193,11/07/2020,7.498749067
194,12/07/2020,8.572947495
195,13/07/2020,9.191428328
196,14/07/2020,9.351564684
197,15/07/2020,7.281442876
198,16/07/2020,8.351035423
199,17/07/2020,10.11488847
200,18/07/2020,9.791847196
201,19/07/2020,9.40006168
202,20/07/2020,8.62472393
203,21/07/2020,8.714219847
204,22/07/2020,8.172671063
205,23/07/2020,7.756228812
206,24/07/2020,9.807812511
207,25/07/2020,10.62175216
208,26/07/2020,9.409479244
209,27/07/2020,8.669731862
210,28/07/2020,8.139572082
211,29/07/2020,9.280072244
212,30/07/2020,9.166424152
213,31/07/2020,8.650960152
214,01/08/2020,9.559729699
215,02/08/2020,9.889486463
216,03/08/2020,10.19396449
217,04/08/2020,10.38667774
218,05/08/2020,9.088804745
219,06/08/2020,9.869999038
220,07/08/2020,10.60596862
221,08/08/2020,9.562489469
222,09/08/2020,9.407137448
223,10/08/2020,9.324277271
224,11/08/2020,9.898128125
225,12/08/2020,7.506623114
226,13/08/2020,8.354647902
227,14/08/2020,9.708067301
228,15/08/2020,10.73861691
229,16/08/2020,10.79350913
230,17/08/2020,9.470091861
231,18/08/2020,10.6414673
232,19/08/2020,9.210762413
233,20/08/2020,9.331137807
234,21/08/2020,8.835171081
235,22/08/2020,9.741465081
236,23/08/2020,10.97146099
237,24/08/2020,10.85133032
238,25/08/2020,10.70854763
239,26/08/2020,11.16225378
240,27/08/2020,10.32491723
241,28/08/2020,11.16297376
242,29/08/2020,10.95839675
243,30/08/2020,11.75331337
244,31/08/2020,11.98877615
245,01/09/2020,12.42529776
246,02/09/2020,11.84094431
247,03/09/2020,10.65117864
248,04/09/2020,10.16014597
249,05/09/2020,9.021252904
250,06/09/2020,8.742621395
251,07/09/2020,7.969230702
252,08/09/2020,9.373122682
253,09/09/2020,10.57237232
254,10/09/2020,11.52167863
255,11/09/2020,9.675334384
256,12/09/2020,11.42486255
257,13/09/2020,12.01001818
258,14/09/2020,11.58369333
259,15/09/2020,10.96088069
260,16/09/2020,12.53752391
261,17/09/2020,12.50931233
262,18/09/2020,12.38484829
263,19/09/2020,11.4943187
264,20/09/2020,11.43570792
265,21/09/2020,11.3209286
266,22/09/2020,12.11208508
267,23/09/2020,10.12757562
268,24/09/2020,10.14929545
269,25/09/2020,11.4339636
270,26/09/2020,10.73116938
271,27/09/2020,11.41514745
272,28/09/2020,10.18295985
