;Date;ET;(mm/day);2020;1995;2050
1;01/01/2020;10.25;;7.20;7.20;7.92
2;02/01/2020;9.05;;6.35;6.35;6.99
3;03/01/2020;8.31;;5.83;5.83;6.42
4;04/01/2020;8.24;;5.79;5.79;6.36
5;05/01/2020;8.87;;6.23;6.23;6.85
6;06/01/2020;8.43;;5.92;5.92;6.51
7;07/01/2020;8.61;;6.04;6.04;6.65
8;08/01/2020;8.48;;5.95;5.95;6.55
9;09/01/2020;8.14;;5.72;5.72;6.29
10;10/01/2020;7.36;;5.17;5.17;5.69
11;11/01/2020;7.71;;5.41;5.41;5.96
12;12/01/2020;6.98;;4.90;4.90;5.39
13;13/01/2020;6.36;;4.46;4.46;4.91
14;14/01/2020;8.07;;5.67;5.67;6.24
15;15/01/2020;7.80;;5.48;5.48;6.03
16;16/01/2020;5.36;;3.76;3.76;4.14
17;17/01/2020;7.66;;5.38;5.38;5.92
18;18/01/2020;5.39;;3.79;3.79;4.16
19;19/01/2020;6.55;;4.60;4.60;5.06
20;20/01/2020;8.28;;5.82;5.82;6.40
21;21/01/2020;8.29;;5.82;5.82;6.40
22;22/01/2020;6.57;;4.61;4.61;5.08
23;23/01/2020;5.33;;3.75;3.75;4.12
24;24/01/2020;5.11;;3.59;3.59;3.95
25;25/01/2020;5.11;;3.59;3.59;3.95
26;26/01/2020;4.88;;3.43;3.43;3.77
27;27/01/2020;6.73;;4.73;4.73;5.20
28;28/01/2020;6.24;;4.38;4.38;4.82
29;29/01/2020;7.08;;4.97;4.97;5.47
30;30/01/2020;7.30;;5.13;5.13;5.64
31;31/01/2020;6.51;;4.57;4.57;5.03
32;01/02/2020;5.73;;4.02;4.02;4.42
33;02/02/2020;5.49;;3.85;3.85;4.24
34;03/02/2020;6.37;;4.47;4.47;4.92
35;04/02/2020;7.63;;5.36;5.36;5.89
36;05/02/2020;7.92;;5.56;5.56;6.12
37;06/02/2020;7.15;;5.02;5.02;5.52
38;07/02/2020;9.09;;6.38;6.38;7.02
39;08/02/2020;8.63;;6.06;6.06;6.66
40;09/02/2020;8.90;;6.25;6.25;6.87
41;10/02/2020;8.80;;6.18;6.18;6.79
42;11/02/2020;8.58;;6.02;6.02;6.62
43;12/02/2020;7.87;;5.52;5.52;6.08
44;13/02/2020;7.92;;5.56;5.56;6.11
45;14/02/2020;6.74;;4.73;4.73;5.21
46;15/02/2020;8.52;;5.98;5.98;6.58
47;16/02/2020;8.15;;5.73;5.73;6.30
48;17/02/2020;8.88;;6.23;6.23;6.85
49;18/02/2020;8.61;;6.04;6.04;6.65
50;19/02/2020;8.40;;5.90;5.90;6.49
51;20/02/2020;8.62;;6.05;6.05;6.66
52;21/02/2020;8.66;;6.08;6.08;6.69
53;22/02/2020;8.83;;6.20;6.20;6.82
54;23/02/2020;8.70;;6.11;6.11;6.72
55;24/02/2020;7.96;;5.59;5.59;6.14
56;25/02/2020;5.84;;4.10;4.10;4.51
57;26/02/2020;6.17;;4.33;4.33;4.76
58;27/02/2020;7.91;;5.55;5.55;6.11
59;28/02/2020;7.81;;5.49;5.49;6.03
60;29/02/2020;7.20;;5.05;5.05;5.56
61;01/03/2020;6.50;;4.56;4.56;5.02
62;02/03/2020;4.44;;3.12;3.12;3.43
63;03/03/2020;6.41;;4.50;4.50;4.95
64;04/03/2020;5.52;;3.88;3.88;4.26
65;05/03/2020;8.06;;5.66;5.66;6.22
66;06/03/2020;7.76;;5.45;5.45;5.99
67;07/03/2020;8.00;;5.62;5.62;6.18
68;08/03/2020;7.56;;5.31;5.31;5.84
69;09/03/2020;6.93;;4.87;4.87;5.35
70;10/03/2020;6.67;;4.68;4.68;5.15
71;11/03/2020;6.71;;4.71;4.71;5.18
72;12/03/2020;6.64;;4.66;4.66;5.13
73;13/03/2020;6.60;;4.64;4.64;5.10
74;14/03/2020;6.74;;4.73;4.73;5.21
75;15/03/2020;7.96;;5.59;5.59;6.15
76;16/03/2020;7.58;;5.32;5.32;5.85
77;17/03/2020;6.11;;4.29;4.29;4.72
78;18/03/2020;6.86;;4.82;4.82;5.30
79;19/03/2020;6.76;;4.74;4.74;5.22
80;20/03/2020;7.44;;5.22;5.22;5.75
81;21/03/2020;8.37;;5.87;5.87;6.46
82;22/03/2020;8.23;;5.78;5.78;6.35
83;23/03/2020;6.87;;4.83;4.83;5.31
84;24/03/2020;7.68;;5.39;5.39;5.93
85;25/03/2020;7.67;;5.39;5.39;5.92
86;26/03/2020;7.44;;5.22;5.22;5.75
87;27/03/2020;4.88;;3.43;3.43;3.77
88;28/03/2020;6.03;;4.24;4.24;4.66
89;29/03/2020;6.62;;4.65;4.65;5.11
90;30/03/2020;7.51;;5.27;5.27;5.80
91;31/03/2020;6.82;;4.79;4.79;5.27
92;01/04/2020;7.29;;5.12;5.12;5.63
93;02/04/2020;7.37;;5.17;5.17;5.69
94;03/04/2020;6.66;;4.68;4.68;5.15
95;04/04/2020;7.03;;4.94;4.94;5.43
96;05/04/2020;6.44;;4.52;4.52;4.97
97;06/04/2020;6.43;;4.51;4.51;4.96
98;07/04/2020;6.35;;4.46;4.46;4.90
99;08/04/2020;7.04;;4.94;4.94;5.43
100;09/04/2020;7.39;;5.19;5.19;5.71
101;10/04/2020;7.19;;5.04;5.04;5.55
102;11/04/2020;6.33;;4.45;4.45;4.89
103;12/04/2020;5.29;;3.71;3.71;4.08
104;13/04/2020;5.94;;4.17;4.17;4.59
105;14/04/2020;6.37;;4.47;4.47;4.92
106;15/04/2020;7.13;;5.00;5.00;5.50
107;16/04/2020;6.48;;4.55;4.55;5.00
108;17/04/2020;6.53;;4.59;4.59;5.05
109;18/04/2020;4.46;;3.13;3.13;3.44
110;19/04/2020;5.16;;3.62;3.62;3.99
111;20/04/2020;5.20;;3.65;3.65;4.02
112;21/04/2020;5.48;;3.84;3.84;4.23
113;22/04/2020;5.31;;3.73;3.73;4.10
114;23/04/2020;4.13;;2.90;2.90;3.19
115;24/04/2020;6.17;;4.33;4.33;4.77
