,Date,Precipitation (mm/day)
1,01/01/2020,0.118833061
2,02/01/2020,0
3,03/01/2020,0.000646071
4,04/01/2020,0.038123036
5,05/01/2020,0.647271966
6,06/01/2020,1.592855352
7,07/01/2020,3.747484284
8,08/01/2020,2.347688563
9,09/01/2020,1.146689996
10,10/01/2020,6.640920034
11,11/01/2020,6.147861439
12,12/01/2020,5.869592674
13,13/01/2020,6.046997137
14,14/01/2020,3.149091944
15,15/01/2020,4.739276246
16,16/01/2020,8.454919784
17,17/01/2020,4.838636267
18,18/01/2020,8.610497666
19,19/01/2020,11.39087087
20,20/01/2020,1.450676247
21,21/01/2020,14.88914534
22,22/01/2020,14.88943441
23,23/01/2020,7.897268544
24,24/01/2020,5.605137346
25,25/01/2020,17.41922355
26,26/01/2020,13.301632
27,27/01/2020,7.028210903
28,28/01/2020,2.668757143
29,29/01/2020,2.715968577
30,30/01/2020,0.712308215
31,31/01/2020,15.39759859
32,01/02/2020,11.86399286
33,02/02/2020,6.941511973
34,03/02/2020,3.266035708
35,04/02/2020,0.482919106
36,05/02/2020,0.642334819
37,06/02/2020,0.761650704
38,07/02/2020,0.106833213
39,08/02/2020,0
40,09/02/2020,0
41,10/02/2020,0.104894998
42,11/02/2020,0.159893033
43,12/02/2020,3.959361962
44,13/02/2020,5.345021246
45,14/02/2020,2.772282851
46,15/02/2020,0.841353754
47,16/02/2020,0.089837677
48,17/02/2020,0.068531785
49,18/02/2020,0.202326426
50,19/02/2020,0.072369642
51,20/02/2020,0.239422499
52,21/02/2020,0.130872858
53,22/02/2020,0.170490536
54,23/02/2020,0.41180303
55,24/02/2020,0.486038566
56,25/02/2020,23.82464081
57,26/02/2020,21.01199769
58,27/02/2020,11.03314983
59,28/02/2020,8.221731418
60,29/02/2020,8.857933361
61,01/03/2020,23.79694665
62,02/03/2020,21.46533266
63,03/03/2020,12.3925034
64,04/03/2020,20.23375659
65,05/03/2020,4.204763039
66,06/03/2020,12.98113713
67,07/03/2020,5.311584635
68,08/03/2020,4.648098202
69,09/03/2020,12.26172695
70,10/03/2020,10.07915788
71,11/03/2020,7.01078144
72,12/03/2020,8.8971075
73,13/03/2020,4.353711428
74,14/03/2020,6.063852857
75,15/03/2020,5.754442486
76,16/03/2020,9.650884798
77,17/03/2020,21.19484571
78,18/03/2020,4.82767716
79,19/03/2020,4.031755718
80,20/03/2020,3.499315719
81,21/03/2020,0.516201428
82,22/03/2020,2.305067134
83,23/03/2020,2.126544102
84,24/03/2020,1.386310178
85,25/03/2020,1.291111074
86,26/03/2020,3.174226075
87,27/03/2020,16.09461323
88,28/03/2020,15.9108589
89,29/03/2020,10.16897141
90,30/03/2020,3.757768402
91,31/03/2020,2.090648565
