ncols,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrows,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xllcorner,230814.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yllcorner,9616990.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cellsize,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NODATA_value,-99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.39,20.37,14.84,13.54,13.94,15.05,14.3,9.97,12.96,16.33,9.97,18.67,17.39,17.55,20.16,8.47,16.62,13.89,16.13,9.6,5.17,2.18,2.29,5.2,3.71,5.86,7.2,11.91,15.6,19.1,13.66,9.94,14.42,13.58,17.82,11.4,10.36,4.41,7.44,8.33,9.51,10.04,9.66,19.95,16.23,12.65,14.42,15.87,15.38,13.79,25.46,15.63,17.39,35,26,19.28,10.52,18.88,16.87,13.21,16.49,14.91,18.3,17.86,19.88,13.73,13.78,22.26,27.27,29.69,20.59,20.79,15.99,36.05,29.2
12.42,22.75,3.59,1.71,9.93,11.21,4.87,16.67,13.98,19.78,11.97,25.76,16.09,9.25,12.65,12.33,10.82,9.93,4.93,1.65,4.21,2.68,1.62,2.18,2.03,5.68,15.22,17.62,43.09,36.05,30.59,13.24,12.28,11.85,12.3,10.16,7.73,10.86,15.12,10.48,26,24.55,18.82,10.13,30.05,10.68,21.39,18.72,12.03,28.91,8.33,7.98,20.3,23.67,13.13,9.25,14.79,13.19,11.51,13.73,15.3,19.15,13.35,19.85,18.88,13.42,13.76,21.29,21.02,11.68,20.7,18.04,17.97,24.11,30.4
6.54,12.88,12.05,11.16,13.94,14.45,17.1,15.82,13.85,17.27,9.48,17.76,11.62,9.1,15.48,12.86,1.21,3.46,3.09,4.7,1.96,2.3,0.94,2.05,2.16,5.9,13.66,6,41.33,37.84,31.49,8.73,8.65,9.46,9.57,13.13,14.29,10.01,15.9,17.02,14.99,21.9,28.61,17.01,45.79,44.77,23,20.69,11.45,10.03,13.8,9.06,14.37,26.86,10.76,6.04,10.72,7.02,12.58,17.96,22.29,19.84,16.93,21.3,18.92,22.57,19.83,20.58,21.8,23.03,19.92,18.89,15.91,15.99,46.67
8.33,6.19,13.18,19.01,20.36,25.6,20.38,21.93,13.19,10.26,9.84,11.85,9.37,13.38,17.44,1.17,0.56,0.69,3.25,5.57,3.25,0.6,3.86,4.13,3.39,9.28,19.67,13.4,10.43,1.54,5.66,31.57,11.29,11.51,12.44,12.42,15.77,11.9,10.92,17.86,20.79,22.41,23.05,20.28,79.83,24.61,55.28,58.59,32.87,29.63,10.04,16.69,21.94,17.52,7.57,11.31,10.11,9.14,11.55,26.77,13.81,19.16,8.82,25.27,21.72,16.34,22.45,21.29,26.84,25.39,26.72,27.51,20.75,26.67,44.56
6,7.03,10.36,14.31,21.34,29.51,18.51,14.75,14.55,14.25,10.06,6.6,9.24,7.69,14.54,4.91,1.91,3.29,2.66,0.81,3.93,0.43,3.09,12.59,14.74,8.96,17.35,1.16,7.61,5.93,13.95,10.82,14,14.43,14.82,27.19,14.53,11.8,21.37,23.09,23.38,30.7,13.7,13.38,70.29,10.13,11.44,19.61,29.19,32.92,15.61,10.9,36.58,31.93,35.28,13.26,11.44,12.84,13.69,15.84,15.86,15.76,14.14,27.36,27.31,23.76,20.73,24.24,20.48,20.86,24.49,24.73,22.69,57.76,59.14
7.74,14.89,14.94,20.68,31.47,34.55,17.9,26.03,21.93,18.87,13.49,8.53,5.77,5.97,8.31,9.87,3.77,1.72,1.15,2.56,3.93,4.7,3.25,17.86,10.7,20.48,7.88,17.46,14.73,4.02,11.13,4.32,6.54,13.68,18.25,26.93,30.96,25.37,15.56,20.01,15.99,27.59,19.04,24.1,57.72,52.9,13.38,16.93,37.57,7.46,10.06,26.04,39.53,41.98,41.46,63.65,47.49,28.86,24.76,22.33,31.4,16.84,21.05,17.01,33.68,17.65,22.49,21.6,18.14,20.39,26.98,24.23,34.75,69.65,63.63
12.66,23.18,22.05,23.33,40.19,25.15,14.36,22.43,42.41,35.96,23.03,6.77,3.63,8.27,12.07,12.89,2.24,0.85,3.65,2.48,2.48,2.99,4.4,15.39,19.94,4.62,10.34,6.68,12.14,16.93,18.77,19.6,10.36,11.55,11.36,19.6,10.91,11.36,15.67,25.06,20.9,17.3,20.96,36.69,29.06,50.8,63.55,15.49,15.17,10.73,21.73,38.29,19.19,24.61,34.62,4.12,21.15,25.08,25.13,18.14,36.82,43.48,45.2,30.61,26.32,20.31,18.75,24.89,22.43,22.28,22.6,26.3,35.07,57.87,37.74
17.16,18.95,21.26,30.24,35.5,24.32,19.38,27.55,43.72,52.35,39.63,17.75,4.12,8.52,9.56,5.43,7.74,1.1,1.54,2.07,4.78,11.58,5.55,12.73,17.4,12.61,6.16,5.4,14.05,26.26,22.44,6.68,5.57,10.41,13.07,14.09,19.85,13.68,22.91,24.32,29.58,16.51,14.14,20.43,23.95,33.59,29.56,16.54,15.47,15.44,34.16,34.89,17.65,19.16,35.6,15.64,13.92,16.5,16.33,20.73,62.45,36.24,13.17,24.34,23.9,17.19,23.05,26.24,22.76,23.45,28.67,30.82,37.84,38.99,26.13
21.6,37.11,40.53,41.97,44.3,7.96,4.97,30.14,36.82,32.9,31.13,29.52,15.86,7.65,11.51,5.83,5.75,5.83,7.32,1.22,9.75,0.38,13.14,7.78,8.02,3.56,7.19,5.44,14.73,24.75,26.09,21.72,8.03,11.73,10.83,12.95,24.06,15.44,19.83,17.16,20.37,36.79,23.13,12.76,33.48,39.59,12.44,23.6,22,29.16,20.37,37.1,38.91,21.19,40.75,29.34,19.89,12.39,24.01,28.23,28.98,2.14,13.8,22.87,27.04,21.32,23.68,25.04,28.26,22.08,31.55,31.06,30.83,39.01,34.14
31.83,29.85,27.14,13.13,19.49,25.15,35.58,32.76,32.15,32.76,25.43,10,15.84,7.44,6.6,1.81,5.94,5.35,7.32,10.91,2.87,4.41,10.13,7.49,5.25,5.74,16.61,11.87,7.46,22.55,13.38,14.81,11.09,8.92,10.27,8.65,22.44,31.18,18.92,14.62,22.44,38.33,42.3,33.52,48.96,53.72,46.49,43.65,44.09,48.09,31.38,53.22,43.41,21.01,51.82,14.37,24.81,18.29,29.64,10.44,11.46,22.01,20.39,18.57,22.83,17.39,28.69,24.71,28.28,29.07,31.01,33.81,31.02,32,35.04
16.38,32.71,15.22,22.05,19.33,11.55,10.44,10.03,13.18,17.55,14.88,13.68,9.07,7.78,4.06,2.3,1.65,6.81,3.51,9.79,7.73,4.43,11.49,12.14,12.04,7.1,16.22,11.09,14.1,17.47,12.78,13.3,11.89,6.59,10.53,15.55,20.22,28.55,24.62,19.21,24.98,17.31,20.54,33.93,43.04,52.09,38.38,4.79,25.8,20.78,43.62,34.28,27.35,10.56,39.25,3.39,14.36,11.43,23.21,14.05,16.75,19.17,17.14,20.81,22.94,23.95,27.99,25.56,27.69,31.56,36.81,34.14,35.24,37.07,43.06
33.95,21.84,9,5.25,3.75,2.69,1.46,5.99,8.46,6.24,4.65,4.23,3.81,11.03,11.05,6.42,5.52,5.15,5.22,4.84,7.52,10.76,20.58,17.3,23.37,5.9,18.13,10.19,7.61,22.12,19.08,19.12,18.78,10.02,26.38,25.4,13.08,21.49,35.03,51.12,46.07,18.36,24.3,39.93,47.62,47.81,53.25,26.26,49.74,32.92,42.76,20.78,33.08,21.25,21.09,22.62,8.44,17.7,19.38,5.83,12.96,15.51,17.81,17.2,16.81,20.27,29.86,23.92,32.88,29.49,36.63,38.66,54.94,60.41,60.49
